,0
1383,DB49.VI
1384,DBA
1385,DBAW
1386,DBB
1387,DBB.MX
1388,DBBF.AX
1389,DBC
1390,DBCN
1391,DBE
1392,DBEF
1393,DBEH
1394,DBEM
1395,DBEU
1396,DBEZ
1397,DBGR
1398,DBJA
1399,DBJP
1400,DBLV
1401,DBMF
1402,DBN
1403,DBO
1404,DBP
1405,DBPD.DE
1406,DBPE.DE
1407,DBPG.DE
1408,DBPK.DE
1409,DBRC.L
1410,DBS
1411,DBV
1412,DBZB.DE
1413,DBZB.F
1414,DBZB.MU
1415,DBZN.BE
1416,DBZN.DE
1417,DBZN.DU
1418,DBZN.F
1419,DBZN.HM
1420,DCCHAS.SW
1421,DCEUAS.SW
1422,DCG.TO
1423,DCGBAS.SW
1424,DCS.TO
1425,DCU.TO
1426,DCUSAS.SW
1427,DDBB.AS
1428,DDEC
1429,DDG
1430,DDIV
1431,DDLS
1432,DDM
1433,DDM.MX
1434,DDWM
1435,DEC1.BE
1436,DED0.MU
1437,DED1.F
1438,DED7.BE
1439,DED7.HM
1440,DEDE.BE
1441,DEDF.F
1442,DEF
1443,DEM
1444,DES
1445,DEUS
1446,DEW
1447,DFAE
1448,DFAI
1449,DFAU
1450,DFC.TO
1451,DFD1.HM
1452,DFE
1453,DFEA.L
1454,DFEA.MI
1455,DFEA.SW
1456,DFEB
1457,DFEE.L
1458,DFEN
1459,DFEP.L
1460,DFHY
1461,DFJ
1462,DFND
1463,DFNL
1464,DFNV
1465,DFOA.BE
1466,DFOA.DE
1467,DFOA.DU
1468,DFOA.F
1469,DFOA.MU
1470,DFOB.BE
1471,DFOB.DE
1472,DFOB.DU
1473,DFOB.F
1474,DFOB.MU
1475,DFOP.BE
1476,DFOP.DE
1477,DFOP.DU
1478,DFOP.F
1479,DFOP.MU
1480,DFU.TO
1481,DFVL
1482,DFVS
1483,DGGF.AX
1484,DGIT.L
1485,DGL
1486,DGLDF
1487,DGP
1488,DGR-B.TO
1489,DGRA.L
1490,DGRA.MI
1491,DGRC.TO
1492,DGRE
1493,DGRG.L
1494,DGRO
1495,DGRO.MX
1496,DGRP.L
1497,DGRS
1498,DGRW
1499,DGRW.L
1500,DGRW.MX
1501,DGS
1502,DGSD.L
1503,DGSE.L
1504,DGSE.MI
1505,DGSE.SW
1506,DGT
1507,DGTL.L
1508,DGTL.MI
1509,DGTL.SW
1510,DGTLN.MX
1511,DGZ
1512,DHHF.AX
1513,DHS
